sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
POLA1-sg7,POLA1,77.33963772,0,117.0194688,0,0,0
BRPF3-sg8,BRPF3,405.5615149,954.2447579,564.1776623,185.4634069,0,1337.919551
EYA1-sg11,EYA1,845.077017,42.57399689,18.95846142,53.98465364,0,0
POGZ-sg9,POGZ,141.474947,372.88949,394.2052496,862.883738,0,1038.408015
NBN-sg2,NBN,894.1216653,93.95640693,205.9281154,6.09504154,0,0
KDM4A-sg5,KDM4A,426.3111738,136.5304038,223.5790968,595.5726305,0,0
KDM2B-sg7,KDM2B,128.2706187,280.4011519,32.68700245,563.3559823,0,0
PHF5A-sg4,PHF5A,32.06765466,111.5732332,290.9143218,1562.072075,0,0
REST-sg4,REST,345.1988708,321.50708,40.53188304,0,0,2551.169326
EZH2-sg9,EZH2,520.6278051,67.53116748,1458.494049,164.5661216,196.1616982,80.5792457
ING1-sg4,ING1,318.790214,923.4153119,281.7619611,1.74144044,6952.842413,3.040726253
TRIM66-sg11,TRIM66,277.2908962,192.3170204,654.3937891,6.09504154,3342.922273,0
MCM6-sg13,MCM6,75.45330509,0,0,718.3441815,359.62978,1050.57092
sgCTRL_403,CTRL,52.81731356,42.57399689,138.5928904,89.68418266,681.1170075,270.6246365
WDR61-sg4,WDR61,77.33963772,89.55220036,133.36297,1570.779277,0,261.5024577
GPS2-sg13,GPS2,20.7496589,0,0,0,2.72446803,0
SIN3B-sg3,SIN3B,0,522.6325136,292.875542,0,0,91.22178758
KDM1B-sg8,KDM1B,311.2448835,212.8699845,0,0,201.6106342,0
SMARCA5-sg1,SMARCA5,175.4289343,0,0,0,0,0
CHD7-sg6,CHD7,0,0,0,127.1251521,0,0
PHF21A-sg11,PHF21A,60.36264407,518.228307,481.8064161,105.3571466,8.17340409,150.5159495
FAM175B-sg3,FAM175B,0,204.0615713,96.09978721,0,0,0
CHD6-sg10,CHD6,398.0161844,527.0367201,293.529282,1414.049637,0,700.8874012
