GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
ACSBG2,-0.5914281,0.6902698,0.8627661,-0.4398938,-0.2849231,-0.9690915,0.1921044,-0.6799402
ACSF2,0.5915532,1.2038465,0.1114986,0.0237315,0.0813124,0.1717862,-0.720256,0.9493973
ACSF3,1.1439233,0.4166169,0.4294227,-0.4920115,0.3783638,0.3543177,1.615295,1.13495
ACSL1,0.9457925,0.9863121,-0.8287935,0.1435052,0.0565853,-0.4332185,-3.1312377,-0.4779817
ACSL3,-0.000451,0.4341624,1.2013278,0.1916773,0.0282797,-0.5222193,-1.3884189,-0.4363305
ACSL4,0.3261324,1.6828497,0.2887301,-1.0669874,-0.4518396,1.725645,-0.3339005,-1.085427
ACSL5,-0.2435786,-0.0242691,1.3228873,-0.8975206,0.3287024,-0.4557979,0.9763647,0.3254575
ACSL6,-0.2435786,-0.6036265,-0.7309508,-0.310922,1.6633843,-0.2631122,-2.101569,-1.4118625
ACSM1,-1.3274837,0.9913207,1.4986502,0.6018205,1.104711,-0.5778655,0.930378,0.0607172
ACSM2A,0.4268852,0.3299855,-0.000759,0.1097467,0.1061391,,,1.325402
ACSM2B,0.8127459,-0.744222,-0.6749245,0.0688709,0.1753412,0.4665231,0.5031466,0.5285091
ACSM3,-1.2176027,1.5841721,1.786528,0.4162799,0.6711476,-0.8060639,-0.0030284,-0.1858931
ACSM4,-1.9246262,0.3152823,0.7174346,1.190957,-0.5384178,-1.427847,0.3181764,0.4462511
ACSM5,-0.2913262,-0.5861101,0.2754046,-0.2486735,-0.0311797,0.8708362,-1.1344528,0.5510111
ACSS1,0.7789445,0.2870955,0.1403076,-1.0923132,-2.2358497,0.1260358,0.6193233,0.1972545
ACSS2,0.5196765,0.1230918,-0.3556462,-0.517128,0.1611214,0.3543177,0.700703,0.4843225
ACSS3,0.109915,-1.7633878,-0.5842009,1.2900051,1.2565558,-0.1764826,0.2446314,1.4097208
ACTA1,1.8112562,-1.0163264,-0.1779117,0.7693741,1.2235353,-0.4677121,-0.2691441,-0.1545144
ACTA2,1.4728073,-0.4575589,-0.3252525,-0.6529301,0.794641,1.6605654,-0.7898704,0.9023839
