,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
ACP1,-0.55715,-0.11406,-0.15267,0.34923,0.068379,0.40553,0.22226,0.29712,0.28322,0.075414,0.24689,0.045422
ACP2,0.034236,-0.20868,0.62139,0.0081201,0.26288,0.099682,-0.040723,0.44478,0.22677,0.10344,0.43508,0.29836
ACP5,0.044473,0.091738,0.43197,0.14295,-0.21471,0.0069724,-0.01361,0.23061,-0.010748,0.055719,0.075408,-0.14474
ACP6,-0.043586,-0.11724,-0.48297,0.075104,-0.029541,-0.14258,-0.10016,0.22337,0.3499,0.067891,0.01559,0.028649
ACPP,-0.10763,0.048967,-0.24604,0.069342,0.45273,0.02423,-0.07889,0.064093,-0.086713,0.091774,0.20101,0.058911
ACPT,-0.06502,0.14586,0.14564,0.60466,0.25632,0.50981,-0.0012685,-0.096228,-0.071377,-0.031704,-0.20996,-0.22625
ACR,-0.18639,-0.50761,0.0037297,0.022294,-0.1914,-0.2326,0.0037881,-0.26958,-0.13542,0.2696,-0.079427,0.20816
ACRBP,0.028077,0.033982,0.11859,0.3365,-0.18888,0.21733,0.25558,0.041623,0.083853,0.27352,0.053152,0.32454
ACRC,0.089598,-0.055275,-0.16969,0.14185,0.23261,-0.10371,-0.072099,-0.073287,-0.012572,0.050647,-0.068632,-0.12079
ACRV1,0.07311,0.012388,-0.023466,-0.22943,-0.033366,0.37326,-0.14177,0.18838,0.37361,0.065299,0.078044,0.35139
ACSBG1,0.16736,0.20703,0.075404,0.48307,0.32952,-0.73145,-0.24056,-0.11377,0.1084,0.0079044,0.028418,0.12409
ACSBG2,0.25865,-0.63479,0.10264,0.019216,0.33506,-0.25702,-0.19851,0.16604,0.044361,-0.1311,0.088486,-0.069943
ACSF2,-0.1728,0.17655,0.30245,0.51977,-0.070648,0.27536,0.072204,-0.094931,-0.046643,0.13222,-0.19052,-0.073734
ACSF3,0.15151,0.082906,0.1388,0.096563,0.46929,-0.016871,-0.094619,-0.14317,-0.15835,-0.0090071,-0.079472,-0.24762
ACSL1,-0.20236,0.16311,0.0063365,0.0071702,0.021109,-0.091868,0.39201,0.28044,0.24408,0.05074,0.079446,0.072274
ACSL3,0.41451,0.036424,0.14335,0.23685,0.10445,0.02456,0.22402,0.10212,0.21236,0.026165,0.041585,0.21761
ACSL4,0.12826,-0.16802,0.18098,0.10381,-0.29805,-0.16873,-0.031163,0.10422,-0.016294,-0.19611,0.052545,0.016311
ACSL5,0.14211,-0.0048948,0.19718,0.31736,-0.22154,-0.37128,0.12809,0.046168,0.088771,0.16776,0.067577,0.049086
ACSL6,-0.11966,-0.080455,0.11897,0.35756,0.04222,0.21001,0.1033,0.092359,-0.032166,0.082217,0.057399,-0.022093
ACSM1,-0.41006,0.20988,-0.17691,0.43139,0.038379,-0.24553,-0.12505,-0.003883,0.038169,-0.0077145,0.081581,0.064212
ACSM2A,0.1445,-0.04916,-0.26826,0.21909,0.10738,0.27749,0.081027,0.099408,0.37573,-0.11487,0.043863,-0.13012
