,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
ACSM2B,0.014133,-0.013188,-0.19765,-0.031862,0.6407,0.37547,0.50962,0.10578,0.075771,0.064379,0.1954,0.061891
ACSM3,-0.35042,-0.33978,-0.045406,0.42939,0.19085,0.36452,-0.0067364,-0.027424,-0.033239,0.035089,0.10116,0.056212
ACSM4,-0.006379,-0.11805,0.4945,0.30503,-0.28451,-0.5371,0.1544,0.06211,0.083392,-0.049938,0.07643900000000001,0.26031
ACSM5,0.023901,0.10628,0.43582,0.0037835,0.39437,0.20333,-0.10827,0.00027199,0.036719,-0.1279,0.06769,-0.081355
ACSM6,-0.06262,0.41528,0.16284,-0.023436,0.19454,-0.10005,0.061972,0.035187,-0.20717,0.13855,0.12648,-0.16439
ACSS1,-0.41514,0.23713,0.1155,0.64124,0.07787,0.54977,-0.073949,-0.089231,0.045581,-0.1459,0.13906,-0.011071
ACSS2,0.04569,0.030303,-0.029254,0.050949,-0.14655,-0.09545,-0.09816,-0.032774,0.25705,-0.053046,-0.088495,0.011774
ACSS3,-0.040458,-0.12461,-0.039932,0.16189,0.15697,0.17741,-0.060783,-0.054035,-0.079853,-0.027363,-0.035037,-0.048746
ACTA1,-0.16095,0.12367,0.36949,0.18829,-0.18068,0.46177,-0.13928,0.09131,-0.26253,0.19856,-0.012191,-0.28794
ACTA2,-0.14562,0.030242,0.32285,0.29562,0.19545,-0.37824,-0.056391,-0.13412,-0.034529,0.12448,0.16864,0.26163
ACTB,-0.13632,0.52597,0.4531,0.56394,0.40348,0.387,-0.098221,-0.15107,-0.024363,0.052403,-0.13934,-0.0022363
ACTBL2,0.24305,0.24452,0.23585,0.11295,-0.065784,-0.86652,-0.12029,-0.2726,-0.41206,-0.041751,0.012568,-0.14487
ACTC1,-0.1126,0.22331,0.051891,0.045285,0.13788,-0.55727,0.076936,-0.01837,0.046172,-0.093136,-0.10431,-0.043345
ACTG1,0.47267,0.26014,-0.20038,0.75362,0.056791,-0.4278,-0.045247,0.29543,-0.0397,-0.085456,0.14693,-0.10354
ACTG2,0.18619,0.088251,-0.070827,0.12052,0.12181,-0.25511,0.11072,0.12508,-0.14447,0.044242,0.10475,0.043853
ACTL6A,0.26037,0.26933,0.18213,0.3807,0.049228,0.26107,0.10775,-0.077457,0.042286,0.094685,0.029858,0.15458
ACTL6B,-0.078965,0.51664,0.14079,0.21679,-0.18663,0.11306,0.034975,-0.08277,-0.001005,-0.094139,-0.075846,-0.30159
ACTL7A,0.1488,0.034554,0.059997,0.18925,-0.23592,-0.2592,0.13013,0.15934,0.13256,-0.037247,0.033421,-0.0068477
ACTL7B,0.17415,-0.27327,0.090952,0.50255,0.2191,-0.088407,0.10306,-0.058237,-0.02445,0.11731,0.15626,-0.077217
ACTL8,0.18585,0.035381,0.19435,0.34816,-0.051855,0.12367,-0.014151,-0.026753,-0.055009,0.030994,-0.058624,0.037968
ACTL9,-0.022711,0.16103,0.35851,0.095583,-0.24036,-0.18208,0.16874,-0.029723,-0.087182,-0.032415,-0.010226,-0.023655
ACTL10,-0.074771,0.20448,-0.22852,-0.25452,0.015217,0.21143,-0.13383,-0.0097875,-0.057964,-0.089182,0.21832,-0.11725
ACTN1,-0.16305,0.12935,-0.38238,0.3904,-0.12297,-1.0186,-0.073186,-0.024355,0.00087229,0.1094,0.0017042,0.023944
ACTN2,0.053004,-0.7117,-0.20343,0.50599,-0.10429,-0.093284,0.31926,0.26425,0.097529,0.12363,0.50462,-0.034225
ACTN3,0.29124,0.33998,-0.21631,0.51142,0.16497,0.07096,0.095432,-0.14142,0.071669,0.0017168,0.063873,0.20487
ACTN4,0.041144,0.26088,0.54706,0.76981,0.66806,0.6825,0.037008,0.055389,0.19663,-0.4694,-0.2138,-0.0081004
ACTR1A,0.14101,-0.1007,0.39729,0.62298,-0.39154,-0.4945,0.15938,-0.161,0.1112,-0.067737,0.14889,0.506
ACTR1B,-0.077152,0.29173,-0.2145,0.087153,0.085391,0.36526,0.060185,-0.18772,-0.049638,0.1017,-0.143,-0.07164
ACTR2,-0.11443,0.18654,0.35732,0.44015,0.18823,-0.076431,0.19191,0.012818,-0.27994,0.23558,0.034874,0.10156
ACTR3,0.15189,0.52053,0.2032,0.14778,0.12274,-0.12509,-0.073926,0.23656,0.36593,-0.070557,0.37694,0.53567
ACTR3B,-0.20326,-0.091866,0.18031,0.080124,-0.19262,0.40673,0.13837,0.077972,0.010475,-0.029888,-0.026228,-0.083168
ACTR3C,-0.25649,0.017671,-0.13063,0.60201,0.67708,-0.028315,-0.18391,0.15101,-0.057672,-0.080444,0.026585,0.024967
ACTR5,0.30519,0.24596,0.16126,0.20975,0.79883,0.20197,-0.199,0.055965,0.27575,-0.22914,0.069515,0.10918
ACTR6,-0.14803,-0.10854,-0.52339,-0.079549,-0.21786,-0.54578,0.23464,-0.039971,-0.12563,0.082463,0.000518,-0.46302
ACTR8,0.053017,-0.24387,0.37241,0.2269,0.11496,0.011489,0.094544,-0.022236,-0.041007,0.0050245,0.055037,0.11755
ACTR10,0.1934,0.62874,0.18951,1.1291,0.7075,-0.052266,0.093165,-0.74673,-0.24138,0.06747,-0.21394,-0.13313
ACTRT1,0.26936,0.16293,-0.17192,-0.15463,-0.22634,0.16361,0.20605,-0.062885,-0.099461,0.19561,0.11259,0.14513
ACTRT2,0.14413,0.24022,0.12473,-0.021439,0.29483,0.37881,0.041396,0.059309,0.10262,0.00014137,0.094104,-0.0889
ACTRT3,-0.30836,-0.39556,0.2775,0.61397,0.44923,0.069873,-0.07436,0.17514,-0.077991,-0.12642,0.013,0.13093
ACVR1,-0.23341,-0.27365,0.13254,-0.034934,-0.57972,-1.0778,0.19306,0.17047,0.062196,0.12488,0.15231,0.23181
ACVR1B,0.46467,0.32714,-0.41387,-0.2056,0.15155,0.12482,0.096734,-0.29082,-0.31564,-0.061879,0.044922,0.086353
ACVR1C,0.049433,-0.021679,0.10872,0.2787,-0.82222,-0.22668,-0.3082,-0.12354,-0.14694,-0.085937,-0.33441,-0.2019
ACVR2A,0.031591,0.10744,-0.077084,0.24096,-0.17887,0.27888,0.035428,-0.15271,-0.20941,0.076971,0.31687,0.25332
ACVR2B,-0.072867,0.16077,-0.25649,-0.0078642,-0.22817,0.052384,0.04444,0.24095,0.30961,0.057441,-0.052333,0.41167
ACVRL1,0.22141,0.32006,0.0037288,0.12593,0.24156,-0.32989,0.014004,-0.045207,0.29901,-0.027169,-0.0072647,0.31779
ACY1,0.59969,0.085837,0.036551,0.10729,0.15415,0.14141,0.037232,0.092634,0.14778,-0.018254,-0.1956,-0.34436
ACY3,0.38035,-0.18799,0.81501,0.2494,0.035242,0.25789,0.020103,-0.090901,-0.018481,-0.22175,0.020922,-0.016765
ACYP1,0.25951,0.10449,-0.33573,0.38692,0.078113,0.10283,0.17651,-0.14251,0.22856,0.14332,-0.052701,0.029563
ACYP2,-0.066641,-0.047044,-0.11616,0.31208,-0.063237,0.2251,0.026147,0.20574,0.09873,-0.109,0.080288,-0.019636
ADA,0.10454,0.047366,0.41593,0.48316,0.22755,-0.0030317,0.18433,0.0325,0.16658,-0.048678,0.015289,0.24475
ADAD1,0.21907,0.17416,0.057593,0.12888,0.018378,0.49526,-0.1691,0.14496,0.15211,0.1081,0.024301,0.1362
ADAD2,-0.28224,-0.273,-0.29374,0.62996,0.3273,-0.27693,0.087399,0.054248,-0.11319,0.30852,0.1605,0.086189
ADAL,0.026508,-0.15562,-0.013755,0.46735,0.46843,0.052989,0.10348,0.043557,0.01207,0.16816,0.12601,-0.11457
ADAM2,0.032153,0.26355,0.80234,0.054594,-0.048919,0.0059784,-0.10933,-0.17453,0.0014637,-0.020036,0.014676,-0.04757
ADAM7,0.19443,0.13769,0.19806,0.11157,-0.45939,-0.11069,-0.044281,0.0073304,-0.0032608,0.031382,-0.059497,0.033801
ADAM8,-0.054091,0.48414,0.99934,0.55028,-0.27735,0.37179,-0.13085,-0.098449,0.18547,-0.15953,-0.2631,0.24013
ADAM9,-0.3173,0.3787,-0.0040269,0.55107,0.29798,0.24719,-0.037293,0.34074,-0.30427,0.065366,0.085399,0.052314
ADAM10,-0.049612,0.32461,0.91335,-0.16205,-0.50288,-0.80308,0.28968,-0.17542,0.11927,0.22718,-0.04052,0.29814
ADAM11,-0.15586,-0.10625,0.40697,0.31878,-0.62675,0.064258,-0.13475,0.095073,-0.18149,-0.14653,-0.14913,-0.27517
ADAM12,-0.1156,0.0096644,-0.43273,-0.0055022,-0.16889,-0.31702,0.08005,0.090084,0.15575,-0.025571,0.061695,0.34246
ADAM15,-0.13689,-0.33399,-0.025321,0.03047,0.071462,0.19571,-0.097322,0.15367,0.044002,0.05122,0.093473,0.062919
ADAM17,0.21702,0.39481,0.69545,0.40179,0.39878,-0.37902,0.11544,0.0046113,0.37219,-0.019237,-0.23259,0.44435
ADAM18,0.19533,-0.35921,-0.0010899,0.102,0.78825,0.31668,-0.076429,-0.26704,-0.099226,-0.31151,-0.2238,-0.2234
ADAM19,-0.21019,-0.014149,-0.036146,0.1558,0.21483,-0.040998,0.1084,-0.0048987,0.08348,0.18021,0.34877,0.066145
ADAM20,-0.05922,0.028914,0.023521,0.29588,0.079782,0.17099,0.1144,-0.060004,-0.07647,0.046032000000000003,0.10573,0.021465
ADAM21,-0.039633,0.17112,0.13715,0.17623,0.082797,0.21128,-0.00048336,-0.2109,0.083043,0.14358,-0.1618,-0.1329
ADAM22,-0.13841,-0.06985,0.77711,0.28331,-0.25582,0.40456,0.13606,0.12003,0.064979,0.050447,0.1237,0.25026
ADAM23,0.17931,0.78435,-0.2303,0.78003,-0.29079,-0.14252,-0.11482,0.050398,0.16053,-0.2416,-0.053119,-0.015121
ADAM28,-0.00030847,0.38077,-0.20087,0.11345,0.34566,-0.15334,0.069084,-0.11658,-0.15772,-0.045227,-0.034663,-0.074331
ADAM29,0.024622,0.14629,-0.34745,0.30601,-0.25929,0.041971,0.061576,-0.12874,-0.10804,0.050091,-0.064353,-0.078145
ADAM30,0.42073,0.19568,0.21038,0.51544,0.79962,0.3451,-0.09216,0.041105,-0.42661,-0.18126,-0.16325,-0.31014
ADAM32,0.23628,-0.1579,-0.51444,0.25083,0.11856,0.79974,-0.30224,-0.17895,-0.33318,-0.27113,-0.19612,-0.12043
ADAM33,0.071722,0.18607,-0.58374,0.55295,-0.12409,0.3559,-0.13704,-0.33552,-0.12775,-0.17991,-0.041466,-0.37099
ADAMDEC1,-0.054147,0.57878,0.38811,0.003951,-0.044348,0.27636,-0.056018,-0.17135,0.0033555,-0.11208,-0.0096328,0.022533
ADAMTS1,0.18227,-0.10668,-0.18135,0.074284,-0.09248,-0.027456,0.13807,0.22544,0.070961,0.014062,-0.18328,-0.19564
ADAMTS2,0.19423,0.19636,-0.044239,0.17183,0.081792,-0.057687,-0.14878,-0.037179,0.053738,-0.081362,-0.24531,-0.11924
ADAMTS3,-0.26623,-0.083825,0.21399,0.069342,0.56514,-0.00086774,-0.10551,0.21057,-0.11143,-0.18094,0.015283,-0.20637
ADAMTS4,0.27979,0.13514,0.10119,0.073898,-0.087322,0.20122,-0.015614,-0.10597,-0.17752,-0.023452,-0.26507,-0.17108
ADAMTS5,-0.092026,0.071019,-0.027566,0.19503,-0.23403,-0.53111,0.16945,-0.23224,-0.29984,0.11582,-0.15606,-0.038617
ADAMTS6,-0.17566,-0.070157,-0.015406,0.12821,0.17023,-0.16155,0.054648,-0.0086459,-0.01654,0.16928,-0.17097,-0.27812
ADAMTS7,-0.57424,-0.17733,-0.32508,0.65612,0.55755,0.54866,0.13405,0.1076,-0.069166,0.20514,-0.11053,-0.17153
ADAMTS8,0.16516,0.29645,0.24851,0.014822,0.67392,-0.05026,0.054534,-0.22586,-0.056958,-0.11243,-0.10016,-0.10256
ADAMTS9,0.090949,0.024279,0.098334,-0.016152,-0.056387,0.18551,-0.06423,0.12705,-0.083983,-0.049076,0.04138,-0.13052
ADAMTS10,0.34306,0.31402,-0.16161,0.20835,-0.70314,-0.44363,0.18014,0.15194,-0.13497,0.05592,0.050843,-0.055755
ADAMTS12,-0.11991,-0.028428,0.53531,0.33983,-0.069458,0.23384,0.22972,-0.32131,-0.24454,0.18748,-0.081811,-0.12765
ADAMTS13,-0.085572,-0.058838,-0.10806,0.47687,0.10335,-0.058345,0.064741,0.11639,0.23017,-0.043599,0.01798,0.084927
ADAMTS14,-0.067439,-0.057558,0.3304,0.78914,0.073838,0.0011491,-0.040717,0.045784,0.59338,0.027515,0.36461,0.52129
ADAMTS15,0.16314,-0.089377,-0.10357,0.16848,0.33578,0.11726,0.069693,-0.027429,-0.063482,0.074541,-0.14939,-0.11011
ADAMTS16,-0.021073,-0.06894,-0.098641,0.057877,-0.06795,0.39493,0.024008,-0.18387,0.084598,0.11488,0.046316,-0.042736
ADAMTS17,0.028585,0.25923,0.097591,0.51899,-0.17191,0.21784,0.015738,0.022681,0.12232,0.014126,0.14438,0.18459
ADAMTS18,0.084086,-0.10357,-0.032417,0.1443,0.17488,0.095501,-0.067474,-0.076092,0.057314,-0.024981,-0.025706,0.26862
ADAMTS19,0.057348,0.094607,-0.062025,0.074851,0.24116,-0.0025995,-0.086164,0.11227,-0.15913,-0.036978,-0.033885,-0.025402
ADAMTS20,-0.030042,-0.55133,-0.4439,0.17448,0.21716,-0.30211,-0.048312,-0.16144,0.10011,-0.043344,-0.31849,-0.23518
ADAMTSL1,-0.062487,-0.056179,0.15537,0.41545,-0.22896,-0.037517,-0.010725,0.15676,0.032192,0.22482,-0.062864,-0.15947
ADAMTSL2,0.052826,0.10979,0.36386,0.25461,1.014,0.22353,0.18265,0.090135,0.18075,0.28799,0.28419,0.3157
ADAMTSL3,-0.29544,0.57715,0.12037,0.097219,0.73155,-0.099759,0.16023,0.12364,0.053089,0.012837,-0.018073,0.10711
ADAMTSL4,0.059439,-0.35303,0.13651,0.26959,0.19882,0.3007,-0.012902,-0.10982,-0.037373,-0.14866,-0.064909,-0.22941
ADAMTSL5,0.076253,0.084512,0.96722,0.36053,0.55848,-0.208,0.03531,0.092638,0.25467,-0.10127,-0.049278,0.033634
ADAP1,0.34195,0.021729,0.081606,0.13155,0.12727,-0.24984,-0.04589,-0.31956,-0.14183,-0.10144,-0.11084,-0.10501
ADAP2,0.57281,-0.090951,0.28801,0.46914,0.050002,0.25764,0.095053,0.020364,0.098669,0.20862,-0.057303,0.020265
ADAR,-0.1558,0.047988,0.10695,0.0083862,-0.093626,-0.1307,0.28199,0.24113,-0.21122,0.049763,0.11397,0.045814
ADARB1,0.18808,0.077838,-0.092351,0.2067,-0.22546,-0.16629,-0.0020105,0.021312,0.26544,-0.038544,-0.10007,0.015721
ADARB2,0.25039,0.29347,0.13575,0.27265,0.1709,0.14828,-0.083397,0.073733,-0.13252,-0.0033405,0.010777,-0.050661
ADAT1,0.19526,0.28512,0.13407,0.30325,0.69731,-0.0064774,-0.11234,-0.17773,0.16837,-0.23769,-0.089804,-0.041143
ADAT2,0.20186,0.31311,0.62831,0.84381,0.23513,0.48897,0.02983,0.021457,-0.36914,-0.038937,0.056651,-0.15445
ADAT3,0.10194,0.2157,0.36641,0.51846,0.15736,-0.045063,0.015285,0.10971,-0.010635,-0.045223,0.011026,-0.047325
ADCK1,0.092031,-0.17761,0.38099,0.096043,0.041849,0.16508,-0.17051,0.025971,-0.24189,0.085246,0.021233,-0.26907
ADCK2,0.080875,-0.085387,-0.095863,0.30366,0.030727,0.29374,0.1038,-0.052251,0.17735,-0.028186,-0.0028416,0.012718
ADCK3,-0.031188,-0.045344,-0.062913,-0.28291,-0.0073925,0.28412,-0.15437,0.12054,-0.42176,-0.14845,0.021823,-0.365
ADCK4,0.0011144,-0.26238,0.19407,-0.094723,0.0601,0.31046,0.030183,0.17354,-0.15497,-0.084137,-0.23279,-0.26854
ADCK5,0.22474,0.10297,0.064467,0.44038,0.17686,0.19083,0.044921,-0.09126,-0.023424,-0.044259,-0.08896,-0.027038
ADCY1,0.033858,-0.063869,-0.21165,0.37988,-0.17147,0.4043,-0.0075598,-0.14882,0.031902,0.061078,-0.18096,-0.097498
ADCY2,0.088777,-0.086909,0.086881,0.42156,-0.01954,0.3699,0.043204,0.059495,-0.05963,0.060269,0.10909,-0.36328
ADCY3,0.30546,0.44166,0.60321,0.85388,1.0288,0.8395,-0.16167,0.040342,-0.050731,-0.22081,-0.1803,-0.31699
ADCY4,-0.13459,0.25906,-0.37363,-0.18807,0.60612,-0.16161,0.2469,-0.021522,-0.093666,-0.0019626,0.24051,-0.2647
ADCY5,0.28466,0.51265,0.29432,0.051426,0.20546,-0.1131,0.061954,0.15585,-0.1876,0.10364,0.17534,-0.095303
ADCY6,0.52998,0.19387,0.6668,0.85074,0.52517,-0.27805,-0.15672,0.0089102,-0.20215,0.042743,0.039293,-0.12772
ADCY7,0.33285,0.11516,0.10401,0.38606,-0.36606,-0.050078,0.04686,-0.045269,0.35468,-0.10068,-0.27279,0.069857
ADCY8,0.12323,0.14065,-0.33279,0.08438,-0.29692,-0.15542,0.10674,-0.05043,-0.067972,0.092639,-0.2124,-0.40293
ADCY9,0.13715,0.23373,0.038624,0.19428,0.063049,0.0095702,-0.037514,-0.062304,-0.024379,-0.11783,-0.012543,0.17589
ADCY10,0.22764,0.30812,0.029052,-0.13804,-0.30001,0.10639,0.040362,-0.16425,-0.20846,0.083356,0.084007,-0.016413
ADCYAP1,0.4887,0.32114,0.31045,0.37865,-0.18305,0.16723,0.23599,0.021015,0.29649,0.17282,0.19147,-0.016556
ADCYAP1R1,0.08038,-0.017784,0.20779,0.22899,0.13748,0.24624,-0.021917,0.014527,-0.054267,-0.072061,0.068737,-0.14851
ADD1,-0.1295,0.095815,0.20637,0.093272,0.096879,0.34134,-0.099822,-0.18285,-0.17716,-0.062451,0.003973,-0.034637
ADD2,-0.26521,-0.00088686,0.24411,0.22437,0.066743,-0.10262,-0.19078,-0.16258,-0.0028637,0.044472,0.043337,-0.05993
ADD3,-0.21594,-0.16738,-0.55382,0.094634,0.24369,-0.34766,0.0535,-0.16516,-0.094754,-0.018485,-0.058852,0.1269
ADGB,-0.003191,-0.37957,-0.35862,-0.017107,0.25185,0.12954,0.11148,0.23038,0.1849,0.10958,0.37158,0.31186
ADGRA1,-0.31452,-0.45983,-0.11531,0.20807,0.053007,0.11901,0.14329,0.011106,0.15565,0.14577,-0.062707,-0.006031
ADGRA2,-0.26651,0.39416,0.48165,0.46242,0.59237,-0.75021,0.080684,0.04329,-0.042278,0.08,-0.13237,-0.3218
ADGRA3,0.22607,0.34639,0.68407,0.099226,-0.1795,0.0074946,-0.049476,0.027729,0.017754,0.097395,0.16271,0.21722
ADGRB1,0.14493,-0.013541,-0.14872,0.39442,0.075365,-0.037498,-0.010954,-0.12801,-0.1477,-0.056196,-0.19069,-0.18922
ADGRB2,0.049828,-0.022597,0.21422,-0.032835,0.17044,-0.38489,-0.044514,-0.18402,-0.29341,0.045017,-0.041543,-0.21707
ADGRB3,-0.12198,-0.13583,-0.18111,0.40792,0.21255,0.012476,0.062829,0.11212,-0.18654,0.10576,0.17255,0.0011834
ADGRD1,-0.38858,-0.41448,-0.018131,0.90844,0.051629,-0.16965,-0.052159,-0.076183,0.28985,-0.38702,-0.076053,0.31262
ADGRE1,0.11614,0.47742,0.27752,0.43857,0.37643,0.74301,-0.069372,-0.03581,-0.14324,-0.1381,0.081449,-0.26398
ADGRE2,0.39702,0.36903,0.21063,0.33378,-0.053472,0.16,0.20792,-0.033152,0.02288,0.17172,0.0114,0.0070652
ADGRE3,0.12745,-0.25524,1.2734,0.27524,0.37475,-0.49978,0.16043,0.12225,0.12051,0.22037,0.075969,0.14086
ADGRE5,0.50341,0.1843,0.73268,-0.045059,0.28215,0.023033,-0.0016923,-0.2694,-0.19185,-0.035125,-0.28821,-0.16952
ADGRF1,-0.024922,0.13886,0.092781,0.22559,-0.46159,-0.1821,0.1301,-0.10192,-0.28021,-0.021288,-0.27696,-0.010224
ADGRF2,0.058833,0.12468,0.29143,-0.16543,-0.14691,-0.11183,-0.038311,0.33785,0.12923,0.10362,0.15861,0.07895
ADGRF3,-0.12109,0.028226,0.81872,0.28398,0.30074,-0.18644,-0.2524,-0.052078,-0.12819,-0.10997,0.032509,-0.09709
ADGRF4,0.24466,-0.50255,0.15595,0.0052652,-0.23048,-0.53294,-0.17778,-0.1496,-0.50844,0.041523,0.084167,-0.067635
ADGRF5,-0.13283,-0.29752,-0.18383,-0.049171,0.11128,-0.10904,0.011078,0.025141,-0.24663,0.049299,-0.082685,-0.089904
ADGRG1,0.20708,0.51748,-0.028359,0.26474,0.66201,0.16728,-0.066973,-0.08904,-0.1279,-0.091662,0.0819,0.056841
ADGRG2,0.27565,0.31844,0.34799,0.12998,0.086944,0.29319,-0.010673,-0.21859,0.055148,-0.14786,-0.24318,-0.053532
ADGRG3,0.049203,0.13952,0.0035976,0.40402,0.20492,-0.025017,-0.078458,0.12703,0.08881,-0.18306,0.087018,-0.093747
ADGRG4,0.096345,-0.051976,0.6518,-0.024539,-0.21197,-0.033197,0.040717,-0.38383,-0.25807,0.046133,-0.045861,-0.054051
ADGRG5,0.13297,0.48263,-0.13997,0.49342,-0.17641,0.36628,-0.11051,-0.17537,-0.019727,-0.12629,0.031961,0.051979
ADGRG6,-0.10251,0.33047,0.29009,-0.13864,0.17216,-0.17222,0.15143,0.03039,0.29716,0.09128,0.28858,-0.087129
ADGRG7,0.042097,-0.086756,0.12938,0.26204,0.24248,0.044197,0.036511,-0.089895,0.15834,0.12034,-0.13667,0.079382
ADGRL1,0.017575,-0.14337,-0.1935,0.27088,-0.25096,-0.33412,-0.020137,-0.019195,0.18268,0.11011,-0.036187,0.14656
ADGRL2,-0.54757,-0.01656,-0.21084,0.10445,-0.43724,-0.16213,0.16402,0.25012,-0.11887,0.27657,0.10446,-0.35594
ADGRL3,-0.13327,-0.038589,0.23528,0.28312,-0.65693,-0.35215,-0.12433,-0.02102,-0.01785,-0.30015,0.016782,-0.11896
ADGRL4,-0.040484,0.34703,-0.36241,-0.12927,-0.45754,0.067955,-0.15434,0.0078819,0.030755,-0.23958,-0.011757,-0.024363
ADGRV1,-0.044555,-0.44059,0.14993,0.40483,-0.07973,0.56235,0.23238,-0.12294,-0.15068,0.081916,0.19052,0.011216
ADH1A,-0.45049,-0.059724,0.52359,-0.43949,-0.13622,0.02556,0.11611,0.081244,-0.0077875,0.10004,-0.0028583,-0.11326
ADH1B,0.15399,0.51938,0.55113,-0.30174,-0.12627,-0.039237,-0.0028168,-0.25106,0.21424,-0.15387,-0.37534,-0.13755
ADH1C,-0.061879,-0.094551,-0.031944,0.17553,0.11614,0.045636,0.21712,-0.26051,-0.13357,0.14932,-0.078914,-0.10949
ADH4,0.13393,-0.1683,-0.3069,0.18388,0.45637,0.3001,0.1729,-0.033827,-0.34018,0.2307,0.16913,0.088183
ADH5,0.035412,0.54416,0.37026,0.42407,0.37371,-0.43013,-0.16445,0.03811,-0.01026,0.18253,0.12919,0.24589
ADH6,-0.035198,-0.12555,-0.014931,0.0090478,0.16463,-0.12022,-0.0050412,-0.033032,0.01315,0.02549,0.044022,0.087056
ADH7,-0.53602,-0.2102,-0.083344,0.14074,0.27393,-0.010919,0.1543,-0.079792,-0.036833,0.068849,0.034916,-0.32625
ADHFE1,0.4157,0.055253,0.27804,0.51401,0.13946,0.002006,-0.082484,-0.18551,-0.35741,-0.1394,-0.1135,-0.50369
ADI1,0.044841,0.35119,0.22487,0.22811,-0.0035861,0.48976,0.19116,-0.14225,-0.061464,0.31514,0.1773,0.01176
ADIG,-0.2663,0.13754,0.16749,0.044954,0.5805,0.3417,0.11974,-0.047823,0.064348,-0.007892,0.12243,-0.41122
ADIPOQ,-0.010775,0.19291,0.072241,-0.1505,-0.14121,-0.46138,0.06235,0.12643,0.006834,0.042758,-0.00078532,0.25424
ADIPOR1,-0.016353,-0.38553,0.70661,-0.14776,-0.38181,-0.32845,0.089523,0.028175,0.3125,0.29739,0.46594,0.21991
ADIPOR2,0.047104,-0.0023743,0.50992,0.28132,0.21637,0.1156,0.16253,0.11736,0.14009,0.1746,0.054995,0.17184
ADIRF,0.21102,-0.19798,-0.35006,0.19378,0.3952,0.13681,0.037908,-0.12635,0.039159,-0.13808,-0.079165,0.0038562
ADK,0.24877,0.26106,0.28329,0.0083528,-0.04868,0.44485,-0.11873,0.036438,-0.055591,-0.064894,0.056897,-0.00017157
ADM,-0.040679,0.22198,0.15221,0.34084,-0.11587,0.23723,0.036857,-0.19062,-0.074882,-0.0069271,-0.24902,-0.32845
ADM2,0.15205,0.00023585,-0.12789,-0.075802,0.27482,0.050369,0.051461,-0.087723,-0.20603,0.06382,0.044053,0.051102
ADM5,-0.17228,0.27975,0.30688,0.36787,0.045037,-0.39105,0.35096,0.31453,0.19422,-0.20597,0.12315,-0.16762
ADNP,0.13993,0.16633,0.42824,-0.035596,-0.1885,0.41448,0.14812,-0.19844,-0.27962,-0.037616,-0.22619,-0.05718
ADNP2,0.21792,0.21965,0.05924,0.086651,0.48987,-0.14151,0.088398,0.33643,-0.12992,0.024107,0.15171,-0.059957
ADO,0.17735,0.1032,0.62241,-0.053819,-0.15289,0.21862,0.12957,0.016811,0.34575,0.12122,-0.061555,0.021124
ADORA1,-0.47742,0.13653,0.56078,0.2283,0.022485,0.10588,0.10362,-0.24861,0.021289,0.024621,-0.30432,0.072252
ADORA2A,-0.25195,0.086863,-0.039755,0.10267,-0.041098,-0.1843,-0.15529,0.095673,-0.37224,-0.10549,0.1569,-0.20235
ADORA2B,0.1144,-0.4501,-0.29611,0.31702,0.22597,-0.20661,-0.022628,-0.0097741,0.071012,-0.094134,0.0040708,0.09543
ADORA3,-0.072757,-0.070373,0.016234,-0.16557,-0.069302,-0.080046,0.061436,0.032474,-0.023325,0.069722,0.057668,0.1343
ADPGK,-0.27048,-0.20043,-0.0054496,0.12818,-0.34268,0.46618,0.16306,-0.28797,-0.042339,0.017038,-0.11638,0.10696
ADPRH,0.064192,0.28414,0.25679,-0.18042,-0.25003,-0.54076,0.031432,-0.12947,-0.045956,0.068571,-0.016865,-0.15746
ADPRHL1,0.11852,0.024901,0.54671,0.11707,0.11309,-0.33993,0.15358,0.049749,-0.11395,0.083377,0.13165,-0.17343
ADPRHL2,-0.033884,-0.023906,-0.38922,0.20283,-0.25394,-0.22999,0.070782,0.12282,-0.13511,0.0072471,-0.11078,-0.164
ADPRM,-0.29342,0.2634,-0.17222,0.3335,0.18674,0.17912,-0.10962,0.047735,-0.19591,0.2306,0.17667,0.063763
ADRA1A,0.098802,0.15667,0.10199,0.096264,0.46665,-0.054639,-0.025118,0.060141,-0.016349,-0.015683,-0.070959,0.12613
ADRA1B,-0.099,-0.032412,0.15568,-0.071818,0.7494,0.23263,-0.25287,-0.31145,-0.12961,-0.66142,-0.1361,-0.23465
ADRA1D,0.056443,0.099414,0.74188,0.81228,-0.30279,1.2365,-0.2014,-0.053641,-0.056117,0.050761,-0.13349,0.057652
ADRA2A,-0.19657,-0.17655,-0.078027,-0.071813,0.077835,-0.17582,0.095783,0.091122,0.0093535,0.10128,-0.14639,-0.094758
ADRA2B,-0.1185,0.085394,0.15289,0.20671,0.32473,0.48727,0.10816,0.061699,0.12128,0.088976,0.014752,0.082565
ADRA2C,0.22423,0.076164,0.49591,-0.22682,-0.20672,0.3939,-0.10494,-0.15058,-0.015738,-0.24168,0.030456,0.12783
ADRB1,0.038764,-0.16277,-0.19177,0.10973,-0.065956,0.07784,0.083006,-0.051779,0.1797,-0.068336,0.05324,0.057801
