GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
GLDN,1.52612264146639,-0.292703360990715,1,6318.19456838,-1.08753552129428,1,3161.99138966458,1.1708101982285,0.704325231880525,0,14385.6005352681,0.957094931344651,-0.225068031393731,0,5159.31077507922
ERAP1,1.55363725068117,1.01368998883558,0,11082.2105135804,0.567905931838199,0,5555.24190158865,-0.882691931210761,-0.762240728087637,0,5611.34692726098,-1.00101809578726,-0.224872542167832,0,5624.04526949276
GUCA1C,-0.253612489750192,-0.777536768047497,0,5656.77021814249,-0.870299008932798,1,8736.44366287479,2.72954561058816,-1.38118103315175,0,1765.04671342043,1.91796133797139,-0.224601816006248,1,3566.77946124008
KRT27,2.53830430338022,-0.403630308305869,0,4053.60735102035,-0.0233450116107629,0,7348.55315453376,1.39299436067238,0.0332185303696767,0,8705.84024507828,1.37086236579616,-0.223726214719432,0,7750.74489483953
KLF9,-0.353162220251479,0.10377831532212,0,8380.36401490426,0.500991599352944,0,10242.3794458935,0.49916222332288,0.463356614066311,0,12777.9652146296,0.661507800598394,-0.223660640458886,0,8152.98346752518
WFDC11,3.62434041739578,-1.49405475127235,1,3188.39327373387,-2.40318944479828,1,1179.25459002744,0.907894512741037,-1.12143570475154,0,3761.37318869092,0.840707192581959,-0.223620767637572,0,4079.89024358725
PATE1,2.00338769669969,0.14603405726784,0,8691.43989915542,-0.0190375023443301,0,6891.59206301839,0.0929910831444228,-0.692926370009814,0,3831.48662824262,0.199109514404575,-0.22350312051849,0,2643.29924819127
GPS2,2.87034118203953,-2.26731189378458,1,634.76982254087,-1.10208602176506,1,2276.27590170808,0.00104312213383227,-0.976717655059692,0,3164.46006107951,0.00787696446067059,-0.223470684534008,0,7525.62063627618
CXCL10,2.26040401705462,0.9796394153845009,0,8506.63751510542,-0.805631861621511,0,7292.04780401173,2.35365937813537,-0.0490075384361116,0,8468.8015609248,2.0800317408914,-0.22338476891085,1,5914.72337776789
NEFH,-0.383473796577536,1.04755064931218,0,13921.3231609301,1.59088038731437,0,15759.040950523,1.23480299369349,-0.758677652943937,0,2807.86775255611,0.790555056187098,-0.223205745352263,0,4756.99952195659
B3GNT4,-0.587196506431864,0.0517330467953833,0,10422.0725480404,-0.0197039386609795,0,8435.99121423421,-2.13623571840589,-0.134557897181514,0,10453.6020946752,-2.2838096287286,-0.222777877686703,1,8239.38332744008
C12orf73,2.12608749027499,-2.41939914969682,1,3181.29357634106,0.111560684369322,0,8998.33139709581,-2.26602880811052,-1.26967369454415,1,1686.43347389994,-3.27605484734047,-0.222707302763679,0,9463.10004665688
POMGNT1,0.739694422124057,0.373619896389745,0,11846.9144220317,0.484300525933719,0,6383.0039876659,0.260956451470402,-0.258979784808249,0,4891.4201523385,-0.53166789673529,-0.222275579834941,1,8611.92214280331
SECISBP2,0.192025988519271,0.561323903480287,0,11319.7482403626,0.369416997659319,0,9167.59233018846,0.089426019472997,1.0899877460884,0,14691.941353224,0.255381956860303,-0.221658134586513,1,5063.85027645924
ADAMTS15,1.26311020566497,0.269767388948205,0,5289.15171749702,-0.778639166411082,0,1511.297360813,-0.469525251075086,-0.159761098051725,0,8560.9272994065,0.247027847511693,-0.221642182791331,0,8527.6076972946
TMEM151B,0.307112255696126,0.278699669131018,0,10417.9006233966,-0.464684424544102,0,2229.67450590554,-1.88220682042544,0.16897460873622,0,12569.58201957,-2.26613798841782,-0.221553772437352,1,8022.84153629181
MZB1,-1.2080625252535,0.440726254863203,0,9426.61261532222,-1.58120499622631,1,2228.06440091118,1.2471724032343,-1.57341107024768,1,2912.24892931718,1.2570335845034,-0.221431421078003,0,8183.66992866103
DLG1,1.17949696086901,1.02423643644894,0,14764.4872063172,3.69169750725461,0,11968.9633738585,0.25300496620483,-0.382062525086471,0,7576.34602984595,0.116240573530433,-0.221388462254525,0,8561.78292195494
ITCH,2.75215786910144,0.604279143946943,0,8257.54205427397,-0.168441116318563,0,5665.16429240277,-0.701280633985328,-0.661390126304727,0,7607.53865635402,-1.27807438570301,-0.22109338965501,0,8713.94105964439
IMMP1L,-0.3423697825047,-0.752413268023164,0,6500.54225188258,-0.407235648218782,0,7422.48330582544,-6.29887073900793,0.771786741861207,0,12859.2745036792,-7.77958022896202,-0.221050117958577,0,8560.69789721421
ZNF581,-0.986276736832,-1.37543923727879,0,1471.78261228338,-0.878003371478237,0,4345.46484671506,-1.23800199961854,-0.925561728802165,0,2936.78766241589,-1.85552986928651,-0.220847547031326,0,8009.71570986691
PIK3C2A,-3.97627171149688,2.41900842512039,1,15909.660206187,3.10064710197597,0,9829.05435561414,0.017844349242778,2.20207679528351,0,17934.8226279824,0.773236023301651,-0.220730896124538,0,7302.89652855056
GIN1,1.07098487878172,-0.406743529153511,1,7673.88169690241,-1.07917876140288,1,3553.52352010684,-0.461039243480379,0.360456591606654,0,12543.7319494904,-0.24628506353083,-0.220623375467005,0,6447.40271825723
