Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
ASXL2,18.18397507,-3.409182558,0.000253013,29.05067349,1.749733631,0.063700803,8.882018789,-3.038500726,0.004305459,47.6,1.42e-08,0.000233861,-3.03850072585225,0.254515120293305
KLF14,365.7430783,1.923041886,0.021816215,525.9438393,2.550391044,0.002726539,179.1319817,3.263209024,0.001195697,47.5,1.49e-08,0.000244848,2.55039104421269,2.68192224051183
KREMEN1,30.20433951,-3.243021208,0.000546503,224.2237734,2.134303777,0.007173724,261.2266627,1.747392898,0.017895343,47.5,1.49e-08,0.000244848,1.7473928978129,1.38835242074944
LYPD4,25.95221736,-4.207830758,5.59e-06,83.50331688,1.160154308,1,557.5230858,2.40219393,0.012902178,47.4,1.56e-08,0.000256333,1.16015430835576,1.33628192448558
PTPN7,12.30041375,0.691341144,1,363.3548582,2.018417643,1,29.22629704,-5.350949727,7.22e-08,47.4,1.56e-08,0.000256333,0.691341143580123,0.92363803470073
EXOC8,157.5774508,0.384839585,0.585807717,33.6952846,-4.403610617,3.7e-07,107.6972828,0.845014095,0.34247839,47.4,1.56e-08,0.000256333,0.384839584952204,0.0700433319949711
RNF26,605.4214263,2.377867313,0.003972956,17.81976552,-1.352664743,0.132212447,59.56815783,-3.283838697,0.00014174,47.4,1.56e-08,0.000256333,-1.35266474250161,0.923953299063358
TM9SF1,640.213305,1.957589161,0.048021919,111.5692056,2.519244592,0.009667933,284.2939293,2.828583984,0.000163328,47.3,1.63e-08,0.000268322,2.5192445917556,2.47860151442129
CCL14,215.0656402,1.756917461,0.037933979,123.09666,1.575314643,0.043443391,37.17126892,-3.623128937,4.72e-05,47.2,1.71e-08,0.000280921,1.57531464293146,1.10230306403832
SUV420H1,209.6856804,1.284216616,1,511.1105821,2.885628499,0.000361073,15.09466507,-3.541435056,0.000216931,47.2,1.71e-08,0.000280921,1.28421661592817,1.72416432747921
TSNAXIP1,35.7250163,-3.788573329,7.37e-06,67.30013934,1.387777334,1,518.3169796,2.014538125,0.011100019,47.1,1.79e-08,0.000294091,1.38777733422906,1.16556442816119
